,ID,category,Name,artist,link,price,releaseDate
31,1436532915,Alternative,Delta,Mumford & Sons,https://itunes.apple.com/us/album/delta/1436532915?uo=2,$11.99,2018-11-16T00:00:00-07:00
32,1390048449,Rock,Greatest Hits,Guns N' Roses,https://itunes.apple.com/us/album/greatest-hits/1390048449?uo=2,$6.99,2004-03-23T00:00:00-07:00
33,1446769509,Country,Can't Say I Ain't Country,Florida Georgia Line,https://itunes.apple.com/us/album/cant-say-i-aint-country/1446769509?uo=2,$12.99,2019-02-15T00:00:00-07:00
34,1290355394,Pop,Diamonds,Elton John,https://itunes.apple.com/us/album/diamonds/1290355394?uo=2,$7.99,2017-11-03T00:00:00-07:00
35,295535258,Rock,The Definitive Rod Stewart,Rod Stewart,https://itunes.apple.com/us/album/the-definitive-rod-stewart/295535258?uo=2,$6.99,2008-11-18T00:00:00-07:00
36,1436553787,Rock,Chris Cornell,"Chris Cornell, Soundgarden & Temple of the Dog",https://itunes.apple.com/us/album/chris-cornell/1436553787?uo=2,$6.99,2018-11-16T00:00:00-07:00
37,1327989215,Rock,Vault: Def Leppard Greatest Hits (1980–1995),Def Leppard,https://itunes.apple.com/us/album/vault-def-leppard-greatest-hits-1980-1995/1327989215?uo=2,$6.99,1995-10-23T00:00:00-07:00
38,1445461265,Metal,Hexed (Deluxe Version),Children of Bodom,https://itunes.apple.com/us/album/hexed-deluxe-version/1445461265?uo=2,$11.99,2019-03-08T00:00:00-07:00
39,980334914,Country,Traveller,Chris Stapleton,https://itunes.apple.com/us/album/traveller/980334914?uo=2,$9.99,2015-05-05T00:00:00-07:00
40,1306096824,Rock,From the Fires,Greta Van Fleet,https://itunes.apple.com/us/album/from-the-fires/1306096824?uo=2,$6.99,2017-11-10T00:00:00-07:00
41,798901876,Rock,Goodbye Yellow Brick Road (Remastered),Elton John,https://itunes.apple.com/us/album/goodbye-yellow-brick-road-remastered/798901876?uo=2,$6.99,1973-10-05T00:00:00-07:00
42,1453924216,Rock,Hell Freezes Over (Remaster 2018),Eagles,https://itunes.apple.com/us/album/hell-freezes-over-remaster-2018/1453924216?uo=2,$9.99,1994-11-08T00:00:00-07:00
43,202271826,Rock,Greatest Hits,Fleetwood Mac,https://itunes.apple.com/us/album/greatest-hits/202271826?uo=2,$6.99,1988-11-22T00:00:00-07:00
44,1337263399,Rock,Ember,Breaking Benjamin,https://itunes.apple.com/us/album/ember/1337263399?uo=2,$6.99,2018-04-13T00:00:00-07:00
45,1398353335,Christian & Gospel,Burn The Ships,for KING & COUNTRY,https://itunes.apple.com/us/album/burn-the-ships/1398353335?uo=2,$7.99,2018-10-05T00:00:00-07:00
46,485529172,Jazz,Ella and Louis,Ella Fitzgerald & Louis Armstrong,https://itunes.apple.com/us/album/ella-and-louis/485529172?uo=2,$5.99,1955-12-31T16:00:00-07:00
47,913880384,Jazz,Wallflower (Deluxe Edition),Diana Krall,https://itunes.apple.com/us/album/wallflower-deluxe-edition/913880384?uo=2,$5.99,2015-02-03T00:00:00-07:00
48,1445445076,Metal,"I, The Mask",In Flames,https://itunes.apple.com/us/album/i-the-mask/1445445076?uo=2,$9.99,2019-03-01T00:00:00-07:00
49,110871,Rock,The Very Best of Sting & The Police,Sting & The Police,https://itunes.apple.com/us/album/the-very-best-of-sting-the-police/110871?uo=2,$6.99,2002-02-18T00:00:00-07:00
50,1447320701,Alternative,Live in London,Flight of the Conchords,https://itunes.apple.com/us/album/live-in-london/1447320701?uo=2,$13.99,2019-03-08T00:00:00-07:00
51,1214433730,Country,Hero (Deluxe Edition),Maren Morris,https://itunes.apple.com/us/album/hero-deluxe-edition/1214433730?uo=2,$10.99,2016-06-03T00:00:00-07:00
52,1411625594,Alternative,Evolve,Imagine Dragons,https://itunes.apple.com/us/album/evolve/1411625594?uo=2,$9.99,2017-06-23T00:00:00-07:00
53,1444906398,Christian & Gospel,Faith and Wonder (Live),Meredith Andrews,https://itunes.apple.com/us/album/faith-and-wonder-live/1444906398?uo=2,$3.99,2019-03-08T00:00:00-07:00
54,1383989073,Country,Dan + Shay,Dan + Shay,https://itunes.apple.com/us/album/dan-shay/1383989073?uo=2,$10.99,2018-06-22T00:00:00-07:00
55,1088530786,Rock,Complete Greatest Hits,The Cars,https://itunes.apple.com/us/album/complete-greatest-hits/1088530786?uo=2,$6.99,2002-02-19T00:00:00-07:00
56,1274999981,Pop,reputation,Taylor Swift,https://itunes.apple.com/us/album/reputation/1274999981?uo=2,$7.99,2017-11-10T00:00:00-07:00
57,1293899666,Country,"From A Room, Volume 2",Chris Stapleton,https://itunes.apple.com/us/album/from-a-room-volume-2/1293899666?uo=2,$9.99,2017-12-01T00:00:00-07:00
58,933578756,R&B/Soul,30 Greatest Hits,Aretha Franklin,https://itunes.apple.com/us/album/30-greatest-hits/933578756?uo=2,$4.99,1985-01-01T00:00:00-07:00
59,5240863,Rock,The Very Best of Kiss,Kiss,https://itunes.apple.com/us/album/the-very-best-of-kiss/5240863?uo=2,$6.99,2002-08-27T00:00:00-07:00
60,1310052885,Singer/Songwriter,"By The Way, I Forgive You",Brandi Carlile,https://itunes.apple.com/us/album/by-the-way-i-forgive-you/1310052885?uo=2,$7.99,2018-02-16T00:00:00-07:00
61,540910449,Rock,Jonas Brothers,Jonas Brothers,https://itunes.apple.com/us/album/jonas-brothers/540910449?uo=2,$9.99,2007-08-07T00:00:00-07:00
62,1349469013,Rock,When Legends Rise,Godsmack,https://itunes.apple.com/us/album/when-legends-rise/1349469013?uo=2,$6.99,2018-04-27T00:00:00-07:00
